id,reacted,body,user_id,post_id
88,4/24/2024,This post is so well-crafted,182,475
89,6/3/2025,This post is so well-researched,189,166
90,10/30/2024,I'm not sure what to make of this post.,192,302
91,2/3/2025,I'm not sure what to make of this post.,150,230
92,4/5/2024,I'm not sure if I agree with the arguments made in this post.,117,490
93,1/26/2025,it's exceptional!,146,84
94,4/1/2025,nothing special.,19,453
95,3/15/2024,it's disappointing.,180,347
96,4/19/2025,I'm not sure what to think of this post.,115,181
97,9/5/2024,I'm not sure how to interpret this post.,10,380
98,3/28/2025,I'm not sure what to think of this post.,10,189
99,5/5/2025,very disappointing.,55,354
100,10/19/2024,This post is so well-argued,95,42
101,10/14/2024,I'm not impressed by this post,44,92
102,11/20/2024,I'm so glad I stumbled upon it.,144,251
103,5/19/2024,I'm not sure if I agree with the interpretations provided in this post.,109,191
104,6/4/2025,very disappointing.,38,461
105,7/8/2024,This post is so well-structured,26,415
106,1/10/2025,very disappointing.,22,228
107,6/27/2024,I wish this post had more depth and analysis.,24,95
108,2/15/2025,I'm not sure how to respond to this post.,41,217
109,4/5/2025,I expected better from this post,129,324
110,5/7/2025,This post is so well-argued,165,333
111,6/2/2025,it's unsatisfactory.,149,11
112,12/2/2024,I expected better from this post,136,180
113,4/12/2025,This post is so well-structured,80,134
114,4/7/2024,it's disappointing.,102,133
115,9/13/2024,it's disappointing.,188,173
116,12/8/2024,This post is a pleasure,187,380
117,5/4/2024,I'm impressed.,131,268
118,5/4/2024,I'm in awe!,31,214
119,5/2/2024,very disappointing.,125,174
120,4/30/2024,it's subpar.,137,372
121,8/10/2024,I'm so grateful for it.,143,364
122,5/7/2025,I expected better from this post,1,231
123,6/22/2024,This post is a must-read for everyone!,172,203
124,3/11/2024,I love it!,199,39
125,4/23/2024,it's unsatisfactory.,168,112
126,9/29/2024,This post is a revelation,156,219
127,11/12/2024,I disagree with the points made in this post.,156,502
128,5/13/2024,This post is a revelation,134,45
129,3/6/2025,This post is a gem,57,489
130,2/20/2025,This post is a game-changer,187,35
131,4/7/2024,I expected more from this post,23,394
132,8/28/2024,This post is amazing,105,101
133,1/17/2025,This post is a game-changer,82,85
134,7/20/2024,it fell short.,7,380
135,6/3/2025,I love it!,9,484
136,12/16/2024,I can't stop reading this post,73,21
137,11/18/2024,This post is a pleasure,135,133
138,12/27/2024,I love it!,92,118
139,6/21/2025,I don't think this post is worth the attention,70,374
140,9/25/2024,I'm not sure if I agree with the arguments made in this post.,190,100
141,3/8/2024,I'm not sure what to think of this post.,148,21
142,8/1/2024,This post is a gem,68,349
143,7/6/2024,very disappointing.,31,195
144,4/26/2025,This post is a must-read for everyone!,112,359
145,3/8/2024,I'm not sure if I agree with the conclusions drawn in this post.,172,75
146,8/28/2024,I can't stop sharing this post,10,367
147,6/5/2024,it's fantastic!,140,312
148,10/23/2024,it fell short.,130,239
149,7/14/2024,This post is so well-crafted,49,266
150,12/4/2024,it's amazing!,16,470
151,10/17/2024,I expected more from this post,91,504
152,3/4/2025,it's subpar.,86,213
153,5/31/2025,I'm not sure what the author was trying to say in this post.,160,221
154,11/27/2024,This post is so well-crafted,30,30
155,6/25/2024,I'm not sure how to respond to this post.,106,458
156,11/16/2024,very disappointing.,116,64
157,6/4/2024,I expected better from this post,31,492
158,9/3/2024,I'm not sure what to think of this post.,61,299
159,9/21/2024,I'm not impressed by this post,151,433
160,3/14/2024,This post is a treasure,94,148
161,8/22/2024,could be better.,131,420
162,6/4/2024,I love it!,165,17
163,10/2/2024,I'm not sure what to make of this post.,38,1
164,4/5/2025,very disappointing.,24,248
165,5/8/2024,I love it!,172,380
166,2/13/2025,I expected better from this post,98,439
167,3/9/2025,I'm not sure if I agree with the conclusions drawn in this post.,51,322
168,4/30/2024,I'm not sure what to make of this post.,49,261
169,4/9/2025,I'm impressed.,181,135
170,4/5/2024,I love it!,10,430
171,2/6/2025,I'm not sure what to make of this post.,66,61
172,12/14/2024,I'm impressed.,166,82
173,9/14/2024,I love this post! Great job!,30,470
174,3/29/2025,I'm not sure what to make of this post.,18,79
175,5/2/2024,This post is a gem,127,354
176,3/29/2024,I'm not sure what to make of this post.,126,422
177,4/30/2024,This post is so well-researched,171,410
178,9/1/2024,it's outstanding!,89,97
179,8/24/2024,I'm not sure how to interpret this post.,91,164
180,5/31/2024,I'm not sure what to think of this post.,146,105
181,3/15/2025,I can't stop reading this post,87,156
182,3/21/2024,I don't agree with the opinions expressed in this post.,163,97
183,6/5/2025,I love it!,9,46
184,8/21/2024,could be better.,187,106
185,1/25/2025,I'm so grateful for it.,164,117
186,7/21/2024,I don't think this post is worth the effort,16,497
187,5/10/2025,it's lacking.,15,153
188,5/29/2024,I'm so glad I read it.,106,151
189,8/15/2024,I'm in awe!,97,372
190,9/1/2024,very disappointing.,191,364
191,11/10/2024,well done!,167,342
192,11/10/2024,I'm not sure if I agree with the perspectives presented in this post.,18,82
193,6/20/2024,I can't stop sharing this post,94,425
194,12/16/2024,This post is a joy,42,347
195,4/8/2025,This post is a delight,150,3
196,8/13/2024,I'm so glad I stumbled upon it.,175,52
197,4/18/2025,it's amazing!,116,166
198,9/21/2024,I don't think this post is worth reading,129,342
199,11/1/2024,I'm impressed.,96,103
200,1/28/2025,I can't stop thinking about this post,31,88
201,7/7/2024,I don't think this post is worth the time,77,432
202,1/6/2025,I'm not sure if I agree with the conclusions drawn in this post.,16,164
203,11/22/2024,I'm so grateful for it.,143,102
204,6/27/2025,I'm impressed.,121,465
205,8/5/2024,I wish this post had more depth and analysis.,83,122
206,10/2/2024,I expected more from this post,165,354
207,9/13/2024,it's disappointing.,115,60
208,5/17/2025,This post is a pleasure,49,23
209,11/9/2024,I don't agree with the opinions expressed in this post.,97,432
210,10/8/2024,I'm not sure how to respond to this post.,103,166
211,7/4/2024,I'm not sure if I agree with the interpretations provided in this post.,186,407
212,9/8/2024,it's so good.,63,229
213,11/1/2024,This post is a joy,106,4
214,2/22/2025,it's a letdown.,12,53
215,11/18/2024,This post is so informative,85,413
216,2/21/2025,This post is so well-structured,199,67
217,6/10/2025,I love this post! Great job!,188,472
218,4/7/2025,very disappointing.,162,324
219,6/23/2025,I'm not impressed by this post,7,275
220,6/30/2025,I can't stop sharing this post,106,251
221,2/24/2025,very disappointing.,14,209
222,3/19/2024,This post is so well-argued,69,451
223,7/27/2024,I'm impressed.,63,29
224,2/9/2025,it's disappointing.,174,222
225,6/11/2025,I wish this post had more depth and analysis.,41,442
226,6/5/2024,it's exceptional!,113,77
227,9/25/2024,nothing special.,54,316
228,9/21/2024,I'm not sure what to make of this post.,86,475
229,4/1/2024,I'm impressed.,82,319
230,1/13/2025,This post is so well-argued,30,345
231,1/5/2025,I expected more from this post,96,10
232,8/19/2024,This post is so well-researched,168,298
233,4/16/2025,I can't stop praising this post,24,405
234,4/5/2024,I'm not sure how to interpret this post.,75,488
235,1/28/2025,it's addictive!,109,222
236,10/15/2024,I'm not impressed by this post,40,191
237,4/3/2025,This post is a waste of time,62,391
238,3/6/2025,I don't think this post is worth the attention,107,483
239,2/24/2025,I'm not sure if I agree with the perspectives presented in this post.,126,413
240,9/11/2024,I completely agree with everything in this post.,3,144
241,7/25/2024,I'm impressed.,99,38
242,4/28/2024,This post is a treasure,179,72
243,9/3/2024,I'm so grateful for it.,10,427
244,6/13/2024,I have mixed feelings about this post.,3,50
245,5/21/2024,I'm not sure what to make of this post.,71,443
246,7/3/2025,it's disappointing.,174,248
247,12/24/2024,This post is so well-crafted,26,410
248,12/2/2024,it's so good!,174,16
249,3/14/2024,This post is a gem,134,113
250,6/22/2025,This post is so well-researched,65,124
251,8/19/2024,I'm so grateful for it.,176,251
252,11/22/2024,This post is so well-written,104,58
253,12/9/2024,I don't agree with the opinions expressed in this post.,172,142
254,3/29/2025,it fell short.,156,343
255,6/13/2024,This post is just what I needed to hear right now.,92,239
256,3/4/2025,This post is so well-argued,195,88
257,9/10/2024,could be better.,28,44
258,3/8/2025,This post is so well-written,120,163
259,2/11/2025,I don't think this post is worth the read,82,274
260,1/16/2025,This post is so well-crafted,178,484
261,3/21/2024,I'm not sure if I agree with the perspectives presented in this post.,105,63
262,4/20/2025,I'm so glad I stumbled upon it.,5,69
263,4/2/2025,very disappointing.,128,58
264,10/25/2024,it's so good!,148,12
265,1/2/2025,well done!,23,471
266,4/8/2025,I'm not impressed by this post,73,385
267,3/20/2025,I'm so grateful for it.,132,294
268,3/1/2025,I love it!,159,243
269,4/26/2024,This post is a waste of time,119,157
270,4/8/2025,I'm not sure how to respond to this post.,181,60
271,6/30/2024,This post is a treasure,157,435
272,5/9/2025,I'm so happy I read it.,128,262
273,2/28/2025,I'm so glad I stumbled upon it.,145,487
274,6/19/2025,it lacks substance.,21,345
275,10/1/2024,I expected more from this post,44,490
276,9/29/2024,I'm impressed.,19,493
277,10/23/2024,it's underwhelming.,140,345
278,10/23/2024,nothing special.,128,439
279,10/2/2024,it's outstanding!,111,85
280,6/10/2024,I'm not sure how to respond to this post.,128,84
281,8/25/2024,I completely agree with everything in this post.,88,450
282,6/21/2024,nothing special.,7,204
283,5/11/2025,I can't stop reading this post,57,428
284,6/19/2024,I'm impressed.,41,343
285,2/15/2025,This post is a game-changer,158,460
286,3/6/2024,it lacks substance.,200,367
287,6/12/2024,I'm not sure what to think of this post.,47,54
288,10/10/2024,I can't believe how much I learned from this post.,113,362
289,8/12/2024,This post is a pleasure,71,283
290,7/20/2024,This post is a pleasure,79,328
291,1/28/2025,I love it!,182,139
292,4/11/2025,I can't stop sharing this post,93,342
293,8/13/2024,I'm in awe!,26,485
294,4/29/2024,This post is so well-structured,30,43
295,8/20/2024,This post is so informative,149,76
296,4/10/2024,very disappointing.,111,183
297,1/27/2025,I can't stop thinking about this post,75,370
298,3/6/2024,I can't stop talking about this post,114,320
299,12/26/2024,I'm so glad I stumbled upon it.,136,120
300,5/17/2025,I love it!,83,170
301,4/22/2025,I'm so grateful for it.,160,13
302,3/11/2024,it's addictive!,42,143
303,4/10/2024,I'm not sure what to think of this post.,69,470
304,12/11/2024,This post is a pleasure,111,279
305,11/24/2024,I love it!,119,53
306,6/20/2025,I can't stop talking about this post,153,207
307,2/5/2025,it's addictive!,20,389
308,11/6/2024,This post is a gem,31,3
309,4/9/2025,I don't think this post is worth reading,114,54
310,4/14/2024,I can't stop praising this post,72,169
311,6/17/2025,I can't stop reading this post,53,268
312,10/29/2024,I'm not sure what to think of this post.,106,191
313,4/6/2025,I can't get enough of this post,21,296
314,6/4/2025,This post is just what I needed,154,166
315,12/28/2024,I'm so grateful for it.,42,409
316,9/18/2024,I have mixed feelings about this post.,13,175
317,10/10/2024,This post is so well-structured,155,385
318,9/22/2024,it's amazing!,64,368
319,9/19/2024,I can't stop talking about this post,10,201
320,4/6/2024,This post is a pleasure,199,280
321,3/13/2025,it's addictive!,149,309
322,4/20/2024,I'm not sure what to make of this post.,108,5
323,8/18/2024,it's lacking.,4,169
324,8/28/2024,it's lacking.,135,75
325,2/26/2025,I expected more from this post,3,95
326,9/5/2024,I'm not sure if I agree with the interpretations provided in this post.,27,434
327,11/7/2024,it's outstanding!,23,154
328,1/30/2025,This post is just what I needed to hear right now.,167,76
329,7/6/2024,I'm impressed.,32,468
330,12/4/2024,I'm not sure what to make of this post.,56,495
331,4/29/2025,it's lacking.,19,153
332,7/23/2024,I'm not sure what to think of this post.,84,52
333,2/9/2025,very disappointing.,64,148
334,5/22/2025,I can't stop reading it!,129,495
335,7/3/2024,This post is so well-presented,29,209
336,2/5/2025,I can't believe how much I learned from this post.,142,305
337,3/28/2025,I don't think this post is worth the effort,74,320
338,12/4/2024,This post is just what I needed,120,21
339,6/16/2025,I don't think this post is worth the attention,200,287
340,9/28/2024,I don't understand the point of this post.,21,342
341,3/7/2024,I'm not sure what the author was trying to say in this post.,44,429
342,3/29/2025,I love this post! Great job!,175,415
343,6/27/2024,This post is amazing,91,346
344,8/19/2024,I'm not sure what to make of this post.,103,435
345,6/12/2025,This post is a masterpiece,195,14
346,6/4/2024,I'm impressed.,164,105
347,5/8/2024,I'm impressed.,51,397
348,1/1/2025,it's subpar.,81,92
349,8/9/2024,it's amazing!,3,274
350,3/31/2025,This post is so well-structured,84,114
351,6/9/2024,This post is so well-crafted,41,242
352,3/19/2024,I'm not sure if I agree with the viewpoints expressed in this post.,5,69
353,7/7/2024,it's so good.,54,344
354,3/10/2024,This post is so well-presented,105,121
355,12/27/2024,I'm so grateful for it.,127,210
356,11/28/2024,This post is a gem,197,209
357,3/9/2024,I'm not sure if I agree with the interpretations provided in this post.,19,453
358,4/24/2024,This post is so relatable,57,357
359,6/5/2025,I'm not sure if I agree with the perspectives presented in this post.,80,86
360,5/8/2024,I love it!,98,495
361,11/5/2024,it's disappointing.,85,480
362,3/31/2025,it's unsatisfactory.,56,330
363,8/30/2024,I'm impressed.,33,362
364,6/17/2025,I'm not sure if I agree with the interpretations provided in this post.,153,371
365,3/10/2025,very disappointing.,28,114
366,6/19/2025,I'm not sure what to make of this post.,200,188
367,4/29/2024,This post is so relatable,52,500
368,2/10/2025,I love it!,24,101
369,3/12/2024,I expected more from this post,127,143
370,11/14/2024,I'm blown away!,184,265
371,6/7/2025,I expected more from this post,62,308
372,9/8/2024,I'm not sure if I agree with the arguments made in this post.,154,328
373,2/25/2025,it's amazing!,130,396
374,3/13/2024,I can't stop talking about this post,80,415
375,5/27/2024,well done!,84,444
376,1/6/2025,I don't agree with the opinions expressed in this post.,42,131
377,12/28/2024,This post is a revelation,87,149
378,4/10/2025,very disappointing.,79,122
379,4/14/2024,This post is a game-changer,169,195
380,4/8/2024,I don't think this post is worth the effort,88,138
381,9/2/2024,I love it!,187,278
382,8/23/2024,I'm not sure what to make of this post.,55,410
383,12/27/2024,it's so good!,88,276
384,4/15/2024,I can't stop reading this post,18,118
385,7/27/2024,I'm not sure if I agree with the arguments made in this post.,39,211
386,8/7/2024,it's disappointing.,47,239
387,5/20/2024,I love it!,15,238
388,6/11/2024,This post is just what I needed to hear right now.,150,14
389,9/7/2024,I'm so happy I read it.,156,461
390,8/13/2024,I expected more from this post,186,343
391,6/4/2025,I don't agree with the opinions expressed in this post.,111,429
392,3/29/2024,I'm not sure if I agree with the perspectives presented in this post.,184,491
393,2/14/2025,I don't think this post is worth the time,117,149
394,12/5/2024,I expected more from this post,175,182
395,2/5/2025,This post is a masterpiece,23,250
396,6/3/2024,This post is so well-researched,70,246
397,5/20/2025,it's lacking.,7,222
398,6/8/2025,nothing special.,181,13
399,6/10/2025,it's amazing!,7,466
400,7/1/2024,This post is okay,138,343
401,7/11/2024,This post is a gem,33,341
402,1/9/2025,I love it!,165,206
403,11/29/2024,it's so good!,11,62
404,3/3/2025,I'm not impressed by this post,98,394
405,3/31/2025,This post is a treasure,94,306
406,10/10/2024,it's so good!,44,471
407,8/13/2024,very disappointing.,64,499
408,5/19/2024,This post is a revelation,186,84
409,11/18/2024,it's outstanding!,81,50
410,6/1/2024,very disappointing.,175,341
411,6/24/2024,very disappointing.,145,12
412,4/12/2024,I expected more from this post,172,350
413,3/18/2025,This post is just what I needed,172,428
414,9/26/2024,This post is so well-argued,136,402
415,6/24/2024,very disappointing.,159,351
416,12/23/2024,This post is just what I needed,76,167
417,5/10/2024,very disappointing.,162,271
418,8/9/2024,I don't think this post is worth the effort,95,271
419,6/27/2025,it's disappointing.,20,352
420,1/16/2025,This post is amazing,139,35
421,4/11/2025,This post is a treasure,162,75
422,6/4/2025,I'm so happy I read it.,86,270
423,3/25/2024,This post is so well-argued,134,493
424,4/23/2024,I expected better from this post,103,384
425,5/3/2025,This post is so well-argued,53,42
426,11/23/2024,very disappointing.,168,72
427,4/12/2025,This post is a pleasure,64,393
428,10/9/2024,This post is just what I needed to hear right now.,46,315
429,5/18/2024,This post is a gem,158,52
430,8/21/2024,I'm impressed.,5,258
431,6/23/2025,very disappointing.,126,37
432,1/7/2025,This post is a revelation,145,87
433,5/5/2024,I can't stop sharing this post,152,270
434,10/20/2024,I wish this post had more depth and analysis.,182,242
435,1/9/2025,This post is a game-changer,105,171
436,4/10/2025,I don't think this post is worth the attention,178,34
437,7/9/2024,I can't stop sharing this post,67,35
438,3/20/2025,I don't think this post is worth reading,154,223
439,10/12/2024,I'm impressed.,125,467
440,3/12/2025,I'm not sure what the author was trying to say in this post.,38,507
441,7/3/2024,it's amazing!,122,38
442,8/13/2024,I love it!,156,426
443,1/17/2025,very disappointing.,178,473
444,10/1/2024,it's addictive!,195,167
445,6/5/2025,it's lacking.,117,423
446,7/5/2024,I love it!,185,195
447,5/6/2024,I expected more from this post,26,227
448,5/29/2024,This post is a pleasure,58,437
449,5/11/2024,it's so good!,29,104
450,3/5/2025,I can't stop reading this post,24,231
451,5/20/2024,I can't stop reading it!,182,170
452,5/24/2025,I love it!,24,58
453,7/6/2024,I don't think this post is worth the attention,167,96
454,4/14/2025,I'm so grateful for it.,6,94
455,4/21/2025,I can't stop talking about this post,100,454
456,3/9/2025,I can't stop talking about this post,163,298
457,11/27/2024,I love it!,154,110
458,12/24/2024,I'm not sure what the author was trying to say in this post.,125,107
459,12/3/2024,I'm impressed.,34,258
460,6/2/2025,very disappointing.,200,388
461,5/1/2025,I can't stop sharing this post,143,177
462,11/3/2024,I'm in awe!,71,271
463,5/11/2025,I don't think this post is worth the time,37,332
464,2/25/2025,I'm not sure if I agree with the perspectives presented in this post.,24,203
465,7/17/2024,very disappointing.,3,140
466,6/15/2025,I'm so grateful for it.,75,34
467,4/6/2024,I expected better from this post,28,242
468,4/24/2024,I can't stop reading it!,137,499
469,4/28/2024,I'm impressed.,140,140
470,7/17/2024,I'm not sure how to interpret this post.,163,295
471,3/31/2024,This post is a delight,189,476
472,11/5/2024,I found this post to be very helpful and insightful.,9,193
473,7/20/2024,I love this post! Great job!,146,399
474,12/27/2024,This post is a must-read for everyone!,134,82
475,5/12/2025,I'm not sure how to interpret this post.,40,302
476,6/12/2024,This post is a pleasure,113,477
477,11/30/2024,This post is a joy,101,177
478,5/28/2024,I'm so grateful for it.,108,279
479,5/9/2025,I'm so glad I read it.,128,493
480,4/25/2025,I'm not sure how to respond to this post.,171,291
481,3/23/2025,it's exceptional!,116,209
482,4/20/2024,I don't think this post is worth the read,24,461
483,10/5/2024,I can't believe how much I learned from this post.,137,503
484,10/9/2024,I don't think this post is worth the effort,101,214
485,6/2/2025,I love this post! Great job!,159,210
486,3/28/2024,I can't stop sharing this post,147,259
487,6/6/2025,I'm so grateful for it.,132,322
488,7/2/2024,very disappointing.,115,358
489,5/10/2024,it's subpar.,71,497
490,5/8/2024,I'm blown away!,159,114
491,5/4/2025,I'm so grateful for it.,16,436
492,6/19/2025,I'm not sure if I agree with the interpretations provided in this post.,35,219
493,5/19/2025,very disappointing.,195,6
494,5/7/2024,This post is so well-written,96,340
495,5/13/2024,it's lacking.,135,460
496,2/13/2025,I'm not sure if I agree with the interpretations provided in this post.,7,344
497,8/20/2024,very disappointing.,199,102
498,9/3/2024,I'm so happy I read it.,156,11
499,5/16/2024,I don't understand the point of this post.,164,143
500,3/31/2024,I can't get enough of this post,63,308
501,6/12/2025,This post is so well-researched,200,180
502,10/19/2024,thank you!,160,61
503,8/12/2024,This post is a gem,111,16
504,12/11/2024,it's outstanding!,153,159
505,11/28/2024,I'm impressed.,82,190
506,11/27/2024,I completely agree with everything in this post.,35,35
507,5/31/2025,This post is just what I needed to hear right now.,25,387
508,11/27/2024,I'm so glad I stumbled upon it.,103,345
509,8/13/2024,it's disappointing.,34,181
510,10/13/2024,I'm not sure if I agree with the arguments made in this post.,97,50
511,6/22/2025,I don't think this post is worth the read,175,210
512,6/15/2025,it fell short.,78,353
513,6/7/2024,This post is a masterpiece,139,288
514,7/4/2024,I'm not sure if I agree with the viewpoints expressed in this post.,154,59
515,4/19/2025,This post is a must-read for everyone!,113,14
516,12/16/2024,it's so good!,70,493
517,8/31/2024,I'm not sure how to respond to this post.,163,125
518,5/27/2024,This post is a delight,21,393
519,5/30/2025,very disappointing.,135,258
520,11/12/2024,it's exceptional!,60,75
521,7/23/2024,I can't stop sharing this post,171,368
522,11/19/2024,very disappointing.,3,41
523,6/29/2025,I love it!,148,382
524,3/9/2025,I'm so grateful for it.,82,317
525,12/18/2024,I can't believe how much I learned from this post.,18,226
526,11/12/2024,I don't think this post is worth the time,184,91
527,3/26/2025,I expected more from this post,150,485
528,11/26/2024,it's lacking.,106,277
529,1/17/2025,I'm not sure what to make of this post.,30,115
530,12/20/2024,This post is a gem,62,1
531,6/20/2025,I'm not sure if I agree with the viewpoints expressed in this post.,195,296
532,8/1/2024,I completely agree with everything in this post.,100,184
533,7/22/2024,I can't stop sharing this post,122,487
534,4/12/2025,This post is so well-structured,90,202
535,1/5/2025,I don't think this post is worth the time,45,257
536,9/11/2024,I'm blown away!,157,15
537,7/31/2024,it fell short.,62,281
538,3/10/2024,This post is so informative,32,131
539,6/15/2025,This post is okay,157,69
540,6/19/2024,This post is a must-read for everyone!,121,143
541,6/17/2025,it's exceptional!,59,375
542,8/20/2024,I'm not sure how to respond to this post.,28,284
543,6/20/2025,I'm not sure how to interpret this post.,11,85
544,10/18/2024,it's outstanding!,104,277
545,5/2/2025,I completely agree with everything in this post.,49,443
546,3/20/2025,I'm not sure how to interpret this post.,37,345
547,4/24/2025,I don't agree with the opinions expressed in this post.,139,45
548,3/22/2025,I don't think this post is worth the read,97,326
549,3/31/2025,I'm so glad I stumbled upon it.,41,388
550,10/21/2024,This post is a gem,193,188
551,11/20/2024,This post is a gem,160,482
552,12/1/2024,I don't think this post is worth the effort,113,165
553,11/29/2024,I'm so grateful for it.,134,98
554,4/3/2024,I can't stop sharing this post,5,27
555,9/15/2024,I disagree with the points made in this post.,185,480
556,1/17/2025,This post is so well-argued,89,237
557,10/21/2024,I'm so happy I read it.,200,19
558,7/6/2024,This post is a revelation,86,221
559,5/11/2024,I'm not impressed by this post,14,498
560,4/19/2024,This post is so well-written,152,187
561,3/24/2025,I'm impressed.,135,151
562,5/6/2025,it's so good!,17,192
563,8/18/2024,could be better.,63,219
564,12/15/2024,it's disappointing.,114,480
565,9/18/2024,I completely agree with everything in this post.,118,61
566,7/11/2024,I expected better from this post,120,466
567,3/25/2025,I'm not sure if I agree with the conclusions drawn in this post.,137,357
568,11/24/2024,I'm so grateful for it.,41,198
569,9/24/2024,This post is so well-argued,101,346
570,11/2/2024,very disappointing.,110,2
571,6/24/2024,I don't think this post is worth the time,123,67
572,5/14/2024,I can't stop talking about this post,57,250
573,2/20/2025,This post is a revelation,111,63
574,4/6/2024,This post is okay,134,384
575,5/18/2025,I don't think this post is worth the attention,22,79
576,4/3/2024,I love it!,86,312
577,9/12/2024,I'm so grateful for it.,47,364
578,4/6/2024,This post is just what I needed,131,37
579,11/16/2024,I can't stop reading it!,84,133
580,8/24/2024,I'm not sure if I agree with the arguments made in this post.,9,64
581,5/8/2024,I'm not sure if I agree with the interpretations provided in this post.,139,444
582,2/24/2025,This post is so informative,120,147
583,1/14/2025,This post is a pleasure,143,474
584,6/29/2024,I'm so grateful for it.,121,195
585,3/29/2024,This post is so well-presented,16,472
586,5/15/2024,I'm blown away by the quality of this post.,27,219
587,11/8/2024,This post is a gem,98,122
588,8/5/2024,This post is a pleasure,17,324
589,11/22/2024,I'm impressed.,184,416
590,8/2/2024,I expected more from this post,26,502
591,8/18/2024,I'm in awe!,74,99
592,5/17/2025,I don't think this post is worth the attention,55,357
593,4/9/2025,I'm not sure if I agree with the conclusions drawn in this post.,14,185
594,3/6/2024,I can't stop reading it!,68,156
595,3/24/2024,very disappointing.,182,481
596,10/30/2024,I'm so happy I read it.,60,311
597,9/30/2024,I'm in awe!,43,93
598,11/29/2024,it's exceptional!,124,27
599,3/7/2024,I'm not impressed by this post,172,487
600,6/8/2025,I'm impressed.,75,443
